index,numEq,numClub,RangEq,Masculin,Division,Poule,CorrEq
0,0,04180613,1,0,N3,P,
1,1,04180613,2,0,R1,C,
2,2,04180613,3,0,R1,A,
3,3,04180613,4,0,R2,B,
4,5,04180682,1,0,R3,C,
5,6,04180682,2,0,R3,E,
6,7,04180174,1,0,R1,B,
7,8,04180174,2,0,R3,B,
8,9,04180485,1,0,R2,E,
9,11,04180530,1,0,R2,C,
10,12,04180696,1,0,R2,B,
11,13,04180696,2,0,R3,C,
12,14,04180057,1,0,R3,E,
13,15,04180041,1,0,R2,A,
14,16,04180041,1,0,R3,D,
15,18,04450108,1,0,R1,C,
16,19,04450571,2,0,PN,A,
17,20,04370566,1,0,PN,B,
18,21,04360454,2,0,PN,A,
19,22,04280038,1,0,R1,B,
20,23,04280121,1,0,R2,A,
21,24,04360002,2,0,R1,A,
22,25,04280045,1,0,R1,A,
23,26,04280517,1,0,R1,A,
24,27,04370548,1,0,R3,B,
25,28,04370566,4,0,R3,I,
26,29,04370566,3,0,R2,B,
27,30,04410080,2,0,R1,A,
28,31,04410080,3,0,R2,C,
29,32,04410466,2,0,R1,B,
30,33,04410697,1,0,R2,E,
31,34,04450702,2,0,R3,I,
32,35,04450760,1,0,R3,I,
33,36,04370024,2,0,R3,I,
34,37,04450026,3,0,R3,I,
35,38,04450108,2,0,R3,H,
36,39,04450616,2,0,R3,E,
37,40,04360341,1,0,R3,C,
38,41,04450571,3,0,R1,B,
39,42,04450751,3,0,R1,A,
40,43,04370269,2,0,R2,A,
41,44,04450616,1,0,R2,A,
42,45,04450663,1,0,R2,A,
43,46,04370566,2,0,R2,B,
44,47,04360454,5,0,R2,B,
45,48,04410615,1,0,R2,B,
46,49,04370183,3,0,R2,B,
47,50,04370002,6,0,R2,B,
48,51,04450561,1,0,R2,B,
49,52,04410730,1,0,R2,C,
50,53,04450192,2,0,R2,C,
51,54,04280121,2,0,R2,E,
52,55,04360124,1,0,R1,A,
53,56,04370002,7,0,R3,D,
54,57,04370013,1,0,R3,D,
55,58,04360002,4,0,R3,E,
56,59,04360341,2,0,R3,E,
57,60,04450759,1,0,R3,H,
58,61,04360726,1,0,R3,C,
59,62,04180486,1,0,R3,E,
60,63,04450757,1,0,R1,A,
61,64,04450751,2,0,R1,A,
62,65,04450410,5,0,R1,C,
63,66,04450036,1,0,R1,C,
64,67,04360315,1,0,R1,C,
65,68,04450026,1,0,R1,C,
66,69,04280004,3,0,R1,B,
67,70,04450410,6,0,R1,B,
68,71,04410612,4,0,R2,A,
69,72,04450751,4,0,R2,B,
70,73,04370349,1,0,R2,B,
71,74,04370694,2,0,R2,C,
72,75,04280529,1,0,R2,C,
73,76,04450702,1,0,R2,C,
74,77,04370681,1,0,R2,A,
75,78,04370002,5,0,R2,E,
76,79,04410466,3,0,R2,E,
77,80,04450733,1,0,R2,E,
78,81,04180737,1,0,R3,B,
79,82,04370656,2,0,R3,B,
80,83,04370478,2,0,R3,B,
81,84,04450757,4,0,R3,B,
82,85,04370694,3,0,R3,C,
83,86,04360009,1,0,R3,C,
84,87,04370464,1,0,R3,C,
85,88,04450757,2,0,R3,E,
86,89,04450184,1,0,R3,E,
87,90,01260010,2,0,N3,P,
88,91,13840025,1,0,N3,P,
89,92,01630078,1,0,N3,P,
90,93,08940459,1,0,N3,P,
91,94,04450571,5,0,R3,B,
92,95,04180613,1,0,PN,B,
93,96,04180613,2,0,PN,A,
94,97,04180613,3,0,R1,C,
95,98,04180613,4,0,R2,E,
96,99,04180174,1,0,R1,C,
97,100,04180174,2,0,R3,D,
98,101,04180174,3,0,R3,E,
99,102,04180696,1,0,R1,B,
100,104,04180530,1,0,R3,E,
101,105,04180682,1,0,R3,D,
102,106,04180485,1,0,R2,A,
103,107,04180057,1,0,R3,G,
104,109,04180486,1,0,R3,E,
105,110,04180682,2,0,R3,G,
106,111,04180727,1,0,R3,G,
107,112,04450410,3,0,PN,A,
108,113,04370024,1,0,PN,A,
109,114,04370694,1,0,PN,A,
110,115,04370002,1,0,PN,A,
111,116,04370002,4,0,PN,A,
112,117,04280322,1,0,PN,A,
113,118,04410612,1,0,PN,B,
114,119,04360454,2,0,PN,B,
115,120,04410080,2,0,PN,B,
116,121,04450192,1,0,PN,B,
117,122,04280681,1,0,PN,B,
118,123,04450757,1,0,PN,B,
119,124,04450410,5,0,R1,B,
120,125,04450410,6,0,R1,C,
121,126,04450754,1,0,R1,B,
122,127,04410466,2,0,R1,B,
123,128,04450571,3,0,R1,B,
124,129,04410612,2,0,R1,B,
125,130,04360454,3,0,R1,B,
126,131,04280038,1,0,R1,B,
127,132,04370566,2,0,R1,C,
128,133,04280517,1,0,R1,C,
129,134,04280004,3,0,R1,C,
130,135,04410697,1,0,R1,C,
131,136,04360341,1,0,R2,A,
132,137,04370349,1,0,R2,A,
133,138,04450616,1,0,R2,A,
134,139,04370002,5,0,R2,A,
135,140,04280529,1,0,R2,A,
136,141,04280681,2,0,R2,A,
137,142,04360124,1,0,R2,A,
138,143,04450036,1,0,R2,E,
139,144,04370566,3,0,R2,E,
140,145,04410466,3,0,R2,E,
141,146,04450571,4,0,R2,E,
142,147,04410612,3,0,R2,E,
143,148,04450757,2,0,R2,E,
144,149,04370656,2,0,R2,E,
145,150,04450410,7,0,R3,D,
146,151,04370183,4,0,R3,D,
147,152,04450571,5,0,R3,D,
148,153,04450192,3,0,R3,D,
149,154,04370566,4,0,R3,D,
150,155,04450184,1,0,R3,E,
151,156,04450661,1,0,R3,E,
152,157,04450759,1,0,R3,E,
153,158,04370698,1,0,R3,E,
154,159,04370566,5,0,R3,E,
155,160,04370002,8,0,R3,G,
156,161,04370269,3,0,R3,G,
157,162,04360726,1,0,R3,G,
158,163,04360454,7,0,R3,G,
159,164,04360002,3,0,R3,G,
